_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
20268,201904,S92000003,S08000029,Type 3,Under 18,"",Female,"",3,"",59
20269,201904,S92000003,S08000029,Type 3,Under 18,"",Female,"",4,"",64
20270,201904,S92000003,S08000029,Type 3,Under 18,"",Female,"",5,"",65
20271,201904,S92000003,S08000029,Type 3,Under 18,"",Male,"",1,"",55
20272,201904,S92000003,S08000029,Type 3,Under 18,"",Male,"",2,"",67
20273,201904,S92000003,S08000029,Type 3,Under 18,"",Male,"",3,"",70
20274,201904,S92000003,S08000029,Type 3,Under 18,"",Male,"",4,"",70
20275,201904,S92000003,S08000029,Type 3,Under 18,"",Male,"",5,"",88
20276,201904,S92000003,S08000029,Type 3,"",:,"",:,,:,45
20277,201904,S92000003,S08000030,Type 1,18-24,"",Female,"",1,"",74
20278,201904,S92000003,S08000030,Type 1,18-24,"",Female,"",2,"",59
20279,201904,S92000003,S08000030,Type 1,18-24,"",Female,"",3,"",72
20280,201904,S92000003,S08000030,Type 1,18-24,"",Female,"",4,"",92
20281,201904,S92000003,S08000030,Type 1,18-24,"",Female,"",5,"",63
20282,201904,S92000003,S08000030,Type 1,18-24,"",Female,"",,:,2
20283,201904,S92000003,S08000030,Type 1,18-24,"",Male,"",1,"",94
20284,201904,S92000003,S08000030,Type 1,18-24,"",Male,"",2,"",58
20285,201904,S92000003,S08000030,Type 1,18-24,"",Male,"",3,"",61
20286,201904,S92000003,S08000030,Type 1,18-24,"",Male,"",4,"",95
20287,201904,S92000003,S08000030,Type 1,18-24,"",Male,"",5,"",73
20288,201904,S92000003,S08000030,Type 1,18-24,"",Male,"",,:,3
20289,201904,S92000003,S08000030,Type 1,25-39,"",Female,"",1,"",209
20290,201904,S92000003,S08000030,Type 1,25-39,"",Female,"",2,"",99
20291,201904,S92000003,S08000030,Type 1,25-39,"",Female,"",3,"",103
20292,201904,S92000003,S08000030,Type 1,25-39,"",Female,"",4,"",104
20293,201904,S92000003,S08000030,Type 1,25-39,"",Female,"",5,"",58
20294,201904,S92000003,S08000030,Type 1,25-39,"",Female,"",,:,5
20295,201904,S92000003,S08000030,Type 1,25-39,"",Male,"",1,"",163
20296,201904,S92000003,S08000030,Type 1,25-39,"",Male,"",2,"",154
20297,201904,S92000003,S08000030,Type 1,25-39,"",Male,"",3,"",103
20298,201904,S92000003,S08000030,Type 1,25-39,"",Male,"",4,"",153
20299,201904,S92000003,S08000030,Type 1,25-39,"",Male,"",5,"",84
20300,201904,S92000003,S08000030,Type 1,25-39,"",Male,"",,:,9
20301,201904,S92000003,S08000030,Type 1,40-64,"",Female,"",1,"",181
20302,201904,S92000003,S08000030,Type 1,40-64,"",Female,"",2,"",128
20303,201904,S92000003,S08000030,Type 1,40-64,"",Female,"",3,"",160
20304,201904,S92000003,S08000030,Type 1,40-64,"",Female,"",4,"",185
20305,201904,S92000003,S08000030,Type 1,40-64,"",Female,"",5,"",89
20306,201904,S92000003,S08000030,Type 1,40-64,"",Female,"",,:,7
20307,201904,S92000003,S08000030,Type 1,40-64,"",Male,"",1,"",199
20308,201904,S92000003,S08000030,Type 1,40-64,"",Male,"",2,"",171
20309,201904,S92000003,S08000030,Type 1,40-64,"",Male,"",3,"",169
20310,201904,S92000003,S08000030,Type 1,40-64,"",Male,"",4,"",241
20311,201904,S92000003,S08000030,Type 1,40-64,"",Male,"",5,"",99
20312,201904,S92000003,S08000030,Type 1,40-64,"",Male,"",,:,15
20313,201904,S92000003,S08000030,Type 1,65-74,"",Female,"",1,"",50
20314,201904,S92000003,S08000030,Type 1,65-74,"",Female,"",2,"",36
20315,201904,S92000003,S08000030,Type 1,65-74,"",Female,"",3,"",53
20316,201904,S92000003,S08000030,Type 1,65-74,"",Female,"",4,"",86
20317,201904,S92000003,S08000030,Type 1,65-74,"",Female,"",5,"",49
20318,201904,S92000003,S08000030,Type 1,65-74,"",Female,"",,:,2
20319,201904,S92000003,S08000030,Type 1,65-74,"",Male,"",1,"",44
20320,201904,S92000003,S08000030,Type 1,65-74,"",Male,"",2,"",43
20321,201904,S92000003,S08000030,Type 1,65-74,"",Male,"",3,"",61
20322,201904,S92000003,S08000030,Type 1,65-74,"",Male,"",4,"",85
20323,201904,S92000003,S08000030,Type 1,65-74,"",Male,"",5,"",47
20324,201904,S92000003,S08000030,Type 1,65-74,"",Male,"",,:,2
20325,201904,S92000003,S08000030,Type 1,75 plus,"",Female,"",1,"",72
20326,201904,S92000003,S08000030,Type 1,75 plus,"",Female,"",2,"",77
20327,201904,S92000003,S08000030,Type 1,75 plus,"",Female,"",3,"",126
20328,201904,S92000003,S08000030,Type 1,75 plus,"",Female,"",4,"",129
20329,201904,S92000003,S08000030,Type 1,75 plus,"",Female,"",5,"",117
20330,201904,S92000003,S08000030,Type 1,75 plus,"",Female,"",,:,4
20331,201904,S92000003,S08000030,Type 1,75 plus,"",Male,"",1,"",62
20332,201904,S92000003,S08000030,Type 1,75 plus,"",Male,"",2,"",49
20333,201904,S92000003,S08000030,Type 1,75 plus,"",Male,"",3,"",75
20334,201904,S92000003,S08000030,Type 1,75 plus,"",Male,"",4,"",121
20335,201904,S92000003,S08000030,Type 1,75 plus,"",Male,"",5,"",65
20336,201904,S92000003,S08000030,Type 1,75 plus,"",Male,"",,:,2
20337,201904,S92000003,S08000030,Type 1,Under 18,"",Female,"",1,"",166
20338,201904,S92000003,S08000030,Type 1,Under 18,"",Female,"",2,"",90
20339,201904,S92000003,S08000030,Type 1,Under 18,"",Female,"",3,"",108
20340,201904,S92000003,S08000030,Type 1,Under 18,"",Female,"",4,"",143
20341,201904,S92000003,S08000030,Type 1,Under 18,"",Female,"",5,"",81
20342,201904,S92000003,S08000030,Type 1,Under 18,"",Female,"",,:,10
20343,201904,S92000003,S08000030,Type 1,Under 18,"",Male,"",1,"",168
20344,201904,S92000003,S08000030,Type 1,Under 18,"",Male,"",2,"",135
20345,201904,S92000003,S08000030,Type 1,Under 18,"",Male,"",3,"",123
20346,201904,S92000003,S08000030,Type 1,Under 18,"",Male,"",4,"",136
20347,201904,S92000003,S08000030,Type 1,Under 18,"",Male,"",5,"",129
20348,201904,S92000003,S08000030,Type 1,Under 18,"",Male,"",,:,15
20349,201904,S92000003,S08000030,Type 1,"",:,"",:,,:,73
20350,201904,S92000003,S08000030,Type 3,18-24,"",Female,"",1,"",17
20351,201904,S92000003,S08000030,Type 3,18-24,"",Female,"",2,"",23
20352,201904,S92000003,S08000030,Type 3,18-24,"",Female,"",3,"",24
20353,201904,S92000003,S08000030,Type 3,18-24,"",Female,"",4,"",25
20354,201904,S92000003,S08000030,Type 3,18-24,"",Female,"",5,"",16
20355,201904,S92000003,S08000030,Type 3,18-24,"",Male,"",1,"",20
20356,201904,S92000003,S08000030,Type 3,18-24,"",Male,"",2,"",31
20357,201904,S92000003,S08000030,Type 3,18-24,"",Male,"",3,"",52
20358,201904,S92000003,S08000030,Type 3,18-24,"",Male,"",4,"",16
20359,201904,S92000003,S08000030,Type 3,18-24,"",Male,"",5,"",12
20360,201904,S92000003,S08000030,Type 3,25-39,"",Female,"",1,"",40
20361,201904,S92000003,S08000030,Type 3,25-39,"",Female,"",2,"",40
20362,201904,S92000003,S08000030,Type 3,25-39,"",Female,"",3,"",74
20363,201904,S92000003,S08000030,Type 3,25-39,"",Female,"",4,"",26
20364,201904,S92000003,S08000030,Type 3,25-39,"",Female,"",5,"",23
20365,201904,S92000003,S08000030,Type 3,25-39,"",Female,"",,:,1
20366,201904,S92000003,S08000030,Type 3,25-39,"",Male,"",1,"",30
20367,201904,S92000003,S08000030,Type 3,25-39,"",Male,"",2,"",60
20368,201904,S92000003,S08000030,Type 3,25-39,"",Male,"",3,"",61
20369,201904,S92000003,S08000030,Type 3,25-39,"",Male,"",4,"",49
20370,201904,S92000003,S08000030,Type 3,25-39,"",Male,"",5,"",21
20371,201904,S92000003,S08000030,Type 3,40-64,"",Female,"",1,"",34
20372,201904,S92000003,S08000030,Type 3,40-64,"",Female,"",2,"",58
20373,201904,S92000003,S08000030,Type 3,40-64,"",Female,"",3,"",101
20374,201904,S92000003,S08000030,Type 3,40-64,"",Female,"",4,"",87
20375,201904,S92000003,S08000030,Type 3,40-64,"",Female,"",5,"",43
20376,201904,S92000003,S08000030,Type 3,40-64,"",Female,"",,:,1
20377,201904,S92000003,S08000030,Type 3,40-64,"",Male,"",1,"",31
20378,201904,S92000003,S08000030,Type 3,40-64,"",Male,"",2,"",38
20379,201904,S92000003,S08000030,Type 3,40-64,"",Male,"",3,"",112
20380,201904,S92000003,S08000030,Type 3,40-64,"",Male,"",4,"",95
20381,201904,S92000003,S08000030,Type 3,40-64,"",Male,"",5,"",43
20382,201904,S92000003,S08000030,Type 3,40-64,"",Male,"",,:,1
20383,201904,S92000003,S08000030,Type 3,65-74,"",Female,"",1,"",6
20384,201904,S92000003,S08000030,Type 3,65-74,"",Female,"",2,"",13
20385,201904,S92000003,S08000030,Type 3,65-74,"",Female,"",3,"",33
20386,201904,S92000003,S08000030,Type 3,65-74,"",Female,"",4,"",42
20387,201904,S92000003,S08000030,Type 3,65-74,"",Female,"",5,"",31
20388,201904,S92000003,S08000030,Type 3,65-74,"",Male,"",1,"",7
20389,201904,S92000003,S08000030,Type 3,65-74,"",Male,"",2,"",12
20390,201904,S92000003,S08000030,Type 3,65-74,"",Male,"",3,"",43
20391,201904,S92000003,S08000030,Type 3,65-74,"",Male,"",4,"",33
20392,201904,S92000003,S08000030,Type 3,65-74,"",Male,"",5,"",27
20393,201904,S92000003,S08000030,Type 3,75 plus,"",Female,"",1,"",8
20394,201904,S92000003,S08000030,Type 3,75 plus,"",Female,"",2,"",16
20395,201904,S92000003,S08000030,Type 3,75 plus,"",Female,"",3,"",47
20396,201904,S92000003,S08000030,Type 3,75 plus,"",Female,"",4,"",41
20397,201904,S92000003,S08000030,Type 3,75 plus,"",Female,"",5,"",23
20398,201904,S92000003,S08000030,Type 3,75 plus,"",Female,"",,:,1
20399,201904,S92000003,S08000030,Type 3,75 plus,"",Male,"",1,"",15
20400,201904,S92000003,S08000030,Type 3,75 plus,"",Male,"",2,"",14
20401,201904,S92000003,S08000030,Type 3,75 plus,"",Male,"",3,"",29
20402,201904,S92000003,S08000030,Type 3,75 plus,"",Male,"",4,"",34
20403,201904,S92000003,S08000030,Type 3,75 plus,"",Male,"",5,"",33
20404,201904,S92000003,S08000030,Type 3,Under 18,"",Female,"",1,"",54
20405,201904,S92000003,S08000030,Type 3,Under 18,"",Female,"",2,"",66
20406,201904,S92000003,S08000030,Type 3,Under 18,"",Female,"",3,"",93
20407,201904,S92000003,S08000030,Type 3,Under 18,"",Female,"",4,"",57
20408,201904,S92000003,S08000030,Type 3,Under 18,"",Female,"",5,"",48
20409,201904,S92000003,S08000030,Type 3,Under 18,"",Male,"",1,"",54
20410,201904,S92000003,S08000030,Type 3,Under 18,"",Male,"",2,"",68
20411,201904,S92000003,S08000030,Type 3,Under 18,"",Male,"",3,"",109
20412,201904,S92000003,S08000030,Type 3,Under 18,"",Male,"",4,"",55
20413,201904,S92000003,S08000030,Type 3,Under 18,"",Male,"",5,"",40
20414,201904,S92000003,S08000030,Type 3,Under 18,"",Male,"",,:,2
20415,201904,S92000003,S08000030,Type 3,"",:,"",:,,:,331
20416,201904,S92000003,S08000031,Type 1,18-24,"",Female,"",1,"",708
20417,201904,S92000003,S08000031,Type 1,18-24,"",Female,"",2,"",258
20418,201904,S92000003,S08000031,Type 1,18-24,"",Female,"",3,"",208
20419,201904,S92000003,S08000031,Type 1,18-24,"",Female,"",4,"",176
20420,201904,S92000003,S08000031,Type 1,18-24,"",Female,"",5,"",149
20421,201904,S92000003,S08000031,Type 1,18-24,"",Female,"",,:,22
20422,201904,S92000003,S08000031,Type 1,18-24,"",Male,"",1,"",664
20423,201904,S92000003,S08000031,Type 1,18-24,"",Male,"",2,"",264
20424,201904,S92000003,S08000031,Type 1,18-24,"",Male,"",3,"",206
20425,201904,S92000003,S08000031,Type 1,18-24,"",Male,"",4,"",176
20426,201904,S92000003,S08000031,Type 1,18-24,"",Male,"",5,"",189
20427,201904,S92000003,S08000031,Type 1,18-24,"",Male,"",,:,23
20428,201904,S92000003,S08000031,Type 1,25-39,"",Female,"",1,"",1415
20429,201904,S92000003,S08000031,Type 1,25-39,"",Female,"",2,"",510
20430,201904,S92000003,S08000031,Type 1,25-39,"",Female,"",3,"",297
20431,201904,S92000003,S08000031,Type 1,25-39,"",Female,"",4,"",240
20432,201904,S92000003,S08000031,Type 1,25-39,"",Female,"",5,"",244
20433,201904,S92000003,S08000031,Type 1,25-39,"",Female,"",,:,20
20434,201904,S92000003,S08000031,Type 1,25-39,"",Male,"",1,"",1579
20435,201904,S92000003,S08000031,Type 1,25-39,"",Male,"",2,"",609
20436,201904,S92000003,S08000031,Type 1,25-39,"",Male,"",3,"",381
20437,201904,S92000003,S08000031,Type 1,25-39,"",Male,"",4,"",278
20438,201904,S92000003,S08000031,Type 1,25-39,"",Male,"",5,"",239
20439,201904,S92000003,S08000031,Type 1,25-39,"",Male,"",,:,40
20440,201904,S92000003,S08000031,Type 1,40-64,"",Female,"",1,"",1829
20441,201904,S92000003,S08000031,Type 1,40-64,"",Female,"",2,"",659
20442,201904,S92000003,S08000031,Type 1,40-64,"",Female,"",3,"",534
20443,201904,S92000003,S08000031,Type 1,40-64,"",Female,"",4,"",432
20444,201904,S92000003,S08000031,Type 1,40-64,"",Female,"",5,"",441
20445,201904,S92000003,S08000031,Type 1,40-64,"",Female,"",,:,44
20446,201904,S92000003,S08000031,Type 1,40-64,"",Male,"",1,"",2206
20447,201904,S92000003,S08000031,Type 1,40-64,"",Male,"",2,"",821
20448,201904,S92000003,S08000031,Type 1,40-64,"",Male,"",3,"",478
20449,201904,S92000003,S08000031,Type 1,40-64,"",Male,"",4,"",397
20450,201904,S92000003,S08000031,Type 1,40-64,"",Male,"",5,"",407
20451,201904,S92000003,S08000031,Type 1,40-64,"",Male,"",,:,46
20452,201904,S92000003,S08000031,Type 1,65-74,"",Female,"",1,"",542
20453,201904,S92000003,S08000031,Type 1,65-74,"",Female,"",2,"",239
20454,201904,S92000003,S08000031,Type 1,65-74,"",Female,"",3,"",150
20455,201904,S92000003,S08000031,Type 1,65-74,"",Female,"",4,"",153
20456,201904,S92000003,S08000031,Type 1,65-74,"",Female,"",5,"",198
20457,201904,S92000003,S08000031,Type 1,65-74,"",Female,"",,:,7
20458,201904,S92000003,S08000031,Type 1,65-74,"",Male,"",1,"",505
20459,201904,S92000003,S08000031,Type 1,65-74,"",Male,"",2,"",241
20460,201904,S92000003,S08000031,Type 1,65-74,"",Male,"",3,"",203
20461,201904,S92000003,S08000031,Type 1,65-74,"",Male,"",4,"",174
20462,201904,S92000003,S08000031,Type 1,65-74,"",Male,"",5,"",165
20463,201904,S92000003,S08000031,Type 1,65-74,"",Male,"",,:,7
20464,201904,S92000003,S08000031,Type 1,75 plus,"",Female,"",1,"",819
20465,201904,S92000003,S08000031,Type 1,75 plus,"",Female,"",2,"",467
20466,201904,S92000003,S08000031,Type 1,75 plus,"",Female,"",3,"",325
20467,201904,S92000003,S08000031,Type 1,75 plus,"",Female,"",4,"",285
20468,201904,S92000003,S08000031,Type 1,75 plus,"",Female,"",5,"",348
20469,201904,S92000003,S08000031,Type 1,75 plus,"",Female,"",,:,8
20470,201904,S92000003,S08000031,Type 1,75 plus,"",Male,"",1,"",552
20471,201904,S92000003,S08000031,Type 1,75 plus,"",Male,"",2,"",287
20472,201904,S92000003,S08000031,Type 1,75 plus,"",Male,"",3,"",209
20473,201904,S92000003,S08000031,Type 1,75 plus,"",Male,"",4,"",206
20474,201904,S92000003,S08000031,Type 1,75 plus,"",Male,"",5,"",263
20475,201904,S92000003,S08000031,Type 1,75 plus,"",Male,"",,:,8
20476,201904,S92000003,S08000031,Type 1,Under 18,"",Female,"",1,"",1502
20477,201904,S92000003,S08000031,Type 1,Under 18,"",Female,"",2,"",597
20478,201904,S92000003,S08000031,Type 1,Under 18,"",Female,"",3,"",366
20479,201904,S92000003,S08000031,Type 1,Under 18,"",Female,"",4,"",459
20480,201904,S92000003,S08000031,Type 1,Under 18,"",Female,"",5,"",460
20481,201904,S92000003,S08000031,Type 1,Under 18,"",Female,"",,:,30
20482,201904,S92000003,S08000031,Type 1,Under 18,"",Male,"",1,"",1780
20483,201904,S92000003,S08000031,Type 1,Under 18,"",Male,"",2,"",696
20484,201904,S92000003,S08000031,Type 1,Under 18,"",Male,"",3,"",503
20485,201904,S92000003,S08000031,Type 1,Under 18,"",Male,"",4,"",484
20486,201904,S92000003,S08000031,Type 1,Under 18,"",Male,"",5,"",545
20487,201904,S92000003,S08000031,Type 1,Under 18,"",Male,"",,:,28
20488,201904,S92000003,S08000031,Type 1,"",:,"",:,,:,223
20489,201904,S92000003,S08000031,Type 3,18-24,"",Female,"",1,"",99
20490,201904,S92000003,S08000031,Type 3,18-24,"",Female,"",2,"",51
20491,201904,S92000003,S08000031,Type 3,18-24,"",Female,"",3,"",44
20492,201904,S92000003,S08000031,Type 3,18-24,"",Female,"",4,"",47
20493,201904,S92000003,S08000031,Type 3,18-24,"",Female,"",5,"",51
20494,201904,S92000003,S08000031,Type 3,18-24,"",Female,"",,:,3
20495,201904,S92000003,S08000031,Type 3,18-24,"",Male,"",1,"",111
20496,201904,S92000003,S08000031,Type 3,18-24,"",Male,"",2,"",70
20497,201904,S92000003,S08000031,Type 3,18-24,"",Male,"",3,"",49
20498,201904,S92000003,S08000031,Type 3,18-24,"",Male,"",4,"",52
20499,201904,S92000003,S08000031,Type 3,18-24,"",Male,"",5,"",74
20500,201904,S92000003,S08000031,Type 3,18-24,"",Male,"",,:,1
20501,201904,S92000003,S08000031,Type 3,25-39,"",Female,"",1,"",237
20502,201904,S92000003,S08000031,Type 3,25-39,"",Female,"",2,"",105
20503,201904,S92000003,S08000031,Type 3,25-39,"",Female,"",3,"",89
20504,201904,S92000003,S08000031,Type 3,25-39,"",Female,"",4,"",81
20505,201904,S92000003,S08000031,Type 3,25-39,"",Female,"",5,"",83
20506,201904,S92000003,S08000031,Type 3,25-39,"",Female,"",,:,5
20507,201904,S92000003,S08000031,Type 3,25-39,"",Male,"",1,"",275
20508,201904,S92000003,S08000031,Type 3,25-39,"",Male,"",2,"",135
20509,201904,S92000003,S08000031,Type 3,25-39,"",Male,"",3,"",120
20510,201904,S92000003,S08000031,Type 3,25-39,"",Male,"",4,"",87
20511,201904,S92000003,S08000031,Type 3,25-39,"",Male,"",5,"",107
20512,201904,S92000003,S08000031,Type 3,25-39,"",Male,"",,:,7
20513,201904,S92000003,S08000031,Type 3,40-64,"",Female,"",1,"",341
20514,201904,S92000003,S08000031,Type 3,40-64,"",Female,"",2,"",223
20515,201904,S92000003,S08000031,Type 3,40-64,"",Female,"",3,"",150
20516,201904,S92000003,S08000031,Type 3,40-64,"",Female,"",4,"",159
20517,201904,S92000003,S08000031,Type 3,40-64,"",Female,"",5,"",189
20518,201904,S92000003,S08000031,Type 3,40-64,"",Female,"",,:,8
20519,201904,S92000003,S08000031,Type 3,40-64,"",Male,"",1,"",284
20520,201904,S92000003,S08000031,Type 3,40-64,"",Male,"",2,"",195
20521,201904,S92000003,S08000031,Type 3,40-64,"",Male,"",3,"",137
20522,201904,S92000003,S08000031,Type 3,40-64,"",Male,"",4,"",127
20523,201904,S92000003,S08000031,Type 3,40-64,"",Male,"",5,"",181
20524,201904,S92000003,S08000031,Type 3,40-64,"",Male,"",,:,6
20525,201904,S92000003,S08000031,Type 3,65-74,"",Female,"",1,"",54
20526,201904,S92000003,S08000031,Type 3,65-74,"",Female,"",2,"",64
20527,201904,S92000003,S08000031,Type 3,65-74,"",Female,"",3,"",39
20528,201904,S92000003,S08000031,Type 3,65-74,"",Female,"",4,"",51
20529,201904,S92000003,S08000031,Type 3,65-74,"",Female,"",5,"",75
20530,201904,S92000003,S08000031,Type 3,65-74,"",Female,"",,:,1
20531,201904,S92000003,S08000031,Type 3,65-74,"",Male,"",1,"",52
20532,201904,S92000003,S08000031,Type 3,65-74,"",Male,"",2,"",54
20533,201904,S92000003,S08000031,Type 3,65-74,"",Male,"",3,"",24
20534,201904,S92000003,S08000031,Type 3,65-74,"",Male,"",4,"",43
20535,201904,S92000003,S08000031,Type 3,65-74,"",Male,"",5,"",44
20536,201904,S92000003,S08000031,Type 3,65-74,"",Male,"",,:,3
20537,201904,S92000003,S08000031,Type 3,75 plus,"",Female,"",1,"",91
20538,201904,S92000003,S08000031,Type 3,75 plus,"",Female,"",2,"",73
20539,201904,S92000003,S08000031,Type 3,75 plus,"",Female,"",3,"",55
20540,201904,S92000003,S08000031,Type 3,75 plus,"",Female,"",4,"",65
20541,201904,S92000003,S08000031,Type 3,75 plus,"",Female,"",5,"",87
20542,201904,S92000003,S08000031,Type 3,75 plus,"",Male,"",1,"",32
20543,201904,S92000003,S08000031,Type 3,75 plus,"",Male,"",2,"",47
20544,201904,S92000003,S08000031,Type 3,75 plus,"",Male,"",3,"",38
20545,201904,S92000003,S08000031,Type 3,75 plus,"",Male,"",4,"",62
20546,201904,S92000003,S08000031,Type 3,75 plus,"",Male,"",5,"",57
20547,201904,S92000003,S08000031,Type 3,75 plus,"",Male,"",,:,3
20548,201904,S92000003,S08000031,Type 3,Under 18,"",Female,"",1,"",211
20549,201904,S92000003,S08000031,Type 3,Under 18,"",Female,"",2,"",110
20550,201904,S92000003,S08000031,Type 3,Under 18,"",Female,"",3,"",89
20551,201904,S92000003,S08000031,Type 3,Under 18,"",Female,"",4,"",86
20552,201904,S92000003,S08000031,Type 3,Under 18,"",Female,"",5,"",127
20553,201904,S92000003,S08000031,Type 3,Under 18,"",Female,"",,:,2
20554,201904,S92000003,S08000031,Type 3,Under 18,"",Male,"",1,"",254
20555,201904,S92000003,S08000031,Type 3,Under 18,"",Male,"",2,"",136
20556,201904,S92000003,S08000031,Type 3,Under 18,"",Male,"",3,"",111
20557,201904,S92000003,S08000031,Type 3,Under 18,"",Male,"",4,"",124
20558,201904,S92000003,S08000031,Type 3,Under 18,"",Male,"",5,"",164
20559,201904,S92000003,S08000031,Type 3,Under 18,"",Male,"",,:,5
20560,201904,S92000003,S08000031,Type 3,"",:,"",:,,:,22
20561,201904,S92000003,S08000032,Type 1,18-24,"",Female,"",1,"",301
20562,201904,S92000003,S08000032,Type 1,18-24,"",Female,"",2,"",220
20563,201904,S92000003,S08000032,Type 1,18-24,"",Female,"",3,"",134
20564,201904,S92000003,S08000032,Type 1,18-24,"",Female,"",4,"",69
20565,201904,S92000003,S08000032,Type 1,18-24,"",Female,"",5,"",64
20566,201904,S92000003,S08000032,Type 1,18-24,"",Male,"",1,"",252
20567,201904,S92000003,S08000032,Type 1,18-24,"",Male,"",2,"",208
20568,201904,S92000003,S08000032,Type 1,18-24,"",Male,"",3,"",133
20569,201904,S92000003,S08000032,Type 1,18-24,"",Male,"",4,"",104
20570,201904,S92000003,S08000032,Type 1,18-24,"",Male,"",5,"",68
20571,201904,S92000003,S08000032,Type 1,25-39,"",Female,"",1,"",585
20572,201904,S92000003,S08000032,Type 1,25-39,"",Female,"",2,"",442
20573,201904,S92000003,S08000032,Type 1,25-39,"",Female,"",3,"",262
20574,201904,S92000003,S08000032,Type 1,25-39,"",Female,"",4,"",167
20575,201904,S92000003,S08000032,Type 1,25-39,"",Female,"",5,"",88
20576,201904,S92000003,S08000032,Type 1,25-39,"",Female,"",,:,4
20577,201904,S92000003,S08000032,Type 1,25-39,"",Male,"",1,"",685
20578,201904,S92000003,S08000032,Type 1,25-39,"",Male,"",2,"",504
20579,201904,S92000003,S08000032,Type 1,25-39,"",Male,"",3,"",292
20580,201904,S92000003,S08000032,Type 1,25-39,"",Male,"",4,"",177
20581,201904,S92000003,S08000032,Type 1,25-39,"",Male,"",5,"",125
20582,201904,S92000003,S08000032,Type 1,25-39,"",Male,"",,:,1
20583,201904,S92000003,S08000032,Type 1,40-64,"",Female,"",1,"",868
20584,201904,S92000003,S08000032,Type 1,40-64,"",Female,"",2,"",804
20585,201904,S92000003,S08000032,Type 1,40-64,"",Female,"",3,"",482
20586,201904,S92000003,S08000032,Type 1,40-64,"",Female,"",4,"",367
20587,201904,S92000003,S08000032,Type 1,40-64,"",Female,"",5,"",199
20588,201904,S92000003,S08000032,Type 1,40-64,"",Female,"",,:,5
20589,201904,S92000003,S08000032,Type 1,40-64,"",Male,"",1,"",958
20590,201904,S92000003,S08000032,Type 1,40-64,"",Male,"",2,"",825
20591,201904,S92000003,S08000032,Type 1,40-64,"",Male,"",3,"",486
20592,201904,S92000003,S08000032,Type 1,40-64,"",Male,"",4,"",372
20593,201904,S92000003,S08000032,Type 1,40-64,"",Male,"",5,"",200
20594,201904,S92000003,S08000032,Type 1,40-64,"",Male,"",,:,1
20595,201904,S92000003,S08000032,Type 1,65-74,"",Female,"",1,"",282
20596,201904,S92000003,S08000032,Type 1,65-74,"",Female,"",2,"",296
20597,201904,S92000003,S08000032,Type 1,65-74,"",Female,"",3,"",179
20598,201904,S92000003,S08000032,Type 1,65-74,"",Female,"",4,"",130
20599,201904,S92000003,S08000032,Type 1,65-74,"",Female,"",5,"",70
20600,201904,S92000003,S08000032,Type 1,65-74,"",Female,"",,:,2
20601,201904,S92000003,S08000032,Type 1,65-74,"",Male,"",1,"",292
20602,201904,S92000003,S08000032,Type 1,65-74,"",Male,"",2,"",287
20603,201904,S92000003,S08000032,Type 1,65-74,"",Male,"",3,"",169
20604,201904,S92000003,S08000032,Type 1,65-74,"",Male,"",4,"",134
20605,201904,S92000003,S08000032,Type 1,65-74,"",Male,"",5,"",93
20606,201904,S92000003,S08000032,Type 1,75 plus,"",Female,"",1,"",433
20607,201904,S92000003,S08000032,Type 1,75 plus,"",Female,"",2,"",476
20608,201904,S92000003,S08000032,Type 1,75 plus,"",Female,"",3,"",301
20609,201904,S92000003,S08000032,Type 1,75 plus,"",Female,"",4,"",194
20610,201904,S92000003,S08000032,Type 1,75 plus,"",Female,"",5,"",129
20611,201904,S92000003,S08000032,Type 1,75 plus,"",Male,"",1,"",275
20612,201904,S92000003,S08000032,Type 1,75 plus,"",Male,"",2,"",342
20613,201904,S92000003,S08000032,Type 1,75 plus,"",Male,"",3,"",226
20614,201904,S92000003,S08000032,Type 1,75 plus,"",Male,"",4,"",142
20615,201904,S92000003,S08000032,Type 1,75 plus,"",Male,"",5,"",105
20616,201904,S92000003,S08000032,Type 1,75 plus,"",Male,"",,:,1
20617,201904,S92000003,S08000032,Type 1,Under 18,"",Female,"",1,"",455
20618,201904,S92000003,S08000032,Type 1,Under 18,"",Female,"",2,"",374
20619,201904,S92000003,S08000032,Type 1,Under 18,"",Female,"",3,"",238
20620,201904,S92000003,S08000032,Type 1,Under 18,"",Female,"",4,"",192
20621,201904,S92000003,S08000032,Type 1,Under 18,"",Female,"",5,"",124
20622,201904,S92000003,S08000032,Type 1,Under 18,"",Female,"",,:,2
20623,201904,S92000003,S08000032,Type 1,Under 18,"",Male,"",1,"",497
20624,201904,S92000003,S08000032,Type 1,Under 18,"",Male,"",2,"",414
20625,201904,S92000003,S08000032,Type 1,Under 18,"",Male,"",3,"",302
20626,201904,S92000003,S08000032,Type 1,Under 18,"",Male,"",4,"",251
20627,201904,S92000003,S08000032,Type 1,Under 18,"",Male,"",5,"",140
20628,201904,S92000003,S08000032,Type 1,Under 18,"",Male,"",,:,1
20629,201904,S92000003,S08000032,Type 1,"",:,"",:,,:,170
20630,201904,S92000003,S08000032,Type 3,18-24,"",Female,"",3,"",1
20631,201904,S92000003,S08000032,Type 3,18-24,"",Male,"",1,"",2
20632,201904,S92000003,S08000032,Type 3,18-24,"",Male,"",2,"",2
