_id,Month,Country,HBT,DepartmentType,Age,AgeQF,Sex,SexQF,Deprivation,DeprivationQF,NumberOfAttendances
74,201801,S92000003,S08000016,Type 1,18-24,"",Female,"",3,"",34
75,201801,S92000003,S08000016,Type 1,18-24,"",Female,"",4,"",22
76,201801,S92000003,S08000016,Type 1,18-24,"",Female,"",5,"",4
77,201801,S92000003,S08000016,Type 1,18-24,"",Male,"",1,"",17
78,201801,S92000003,S08000016,Type 1,18-24,"",Male,"",2,"",12
79,201801,S92000003,S08000016,Type 1,18-24,"",Male,"",3,"",19
80,201801,S92000003,S08000016,Type 1,18-24,"",Male,"",4,"",33
81,201801,S92000003,S08000016,Type 1,18-24,"",Male,"",5,"",6
82,201801,S92000003,S08000016,Type 1,18-24,"",Male,"",,:,2
83,201801,S92000003,S08000016,Type 1,25-39,"",Female,"",1,"",15
84,201801,S92000003,S08000016,Type 1,25-39,"",Female,"",2,"",36
85,201801,S92000003,S08000016,Type 1,25-39,"",Female,"",3,"",72
86,201801,S92000003,S08000016,Type 1,25-39,"",Female,"",4,"",45
87,201801,S92000003,S08000016,Type 1,25-39,"",Female,"",5,"",14
88,201801,S92000003,S08000016,Type 1,25-39,"",Female,"",,:,1
89,201801,S92000003,S08000016,Type 1,25-39,"",Male,"",1,"",24
90,201801,S92000003,S08000016,Type 1,25-39,"",Male,"",2,"",41
91,201801,S92000003,S08000016,Type 1,25-39,"",Male,"",3,"",64
92,201801,S92000003,S08000016,Type 1,25-39,"",Male,"",4,"",32
93,201801,S92000003,S08000016,Type 1,25-39,"",Male,"",5,"",10
94,201801,S92000003,S08000016,Type 1,25-39,"",Male,"",,:,2
95,201801,S92000003,S08000016,Type 1,40-64,"",Female,"",1,"",30
96,201801,S92000003,S08000016,Type 1,40-64,"",Female,"",2,"",60
97,201801,S92000003,S08000016,Type 1,40-64,"",Female,"",3,"",133
98,201801,S92000003,S08000016,Type 1,40-64,"",Female,"",4,"",92
99,201801,S92000003,S08000016,Type 1,40-64,"",Female,"",5,"",38
100,201801,S92000003,S08000016,Type 1,40-64,"",Female,"",,:,1
101,201801,S92000003,S08000016,Type 1,40-64,"",Male,"",1,"",24
102,201801,S92000003,S08000016,Type 1,40-64,"",Male,"",2,"",56
103,201801,S92000003,S08000016,Type 1,40-64,"",Male,"",3,"",120
104,201801,S92000003,S08000016,Type 1,40-64,"",Male,"",4,"",86
105,201801,S92000003,S08000016,Type 1,40-64,"",Male,"",5,"",16
106,201801,S92000003,S08000016,Type 1,40-64,"",Male,"",,:,6
107,201801,S92000003,S08000016,Type 1,65-74,"",Female,"",1,"",7
108,201801,S92000003,S08000016,Type 1,65-74,"",Female,"",2,"",27
109,201801,S92000003,S08000016,Type 1,65-74,"",Female,"",3,"",58
110,201801,S92000003,S08000016,Type 1,65-74,"",Female,"",4,"",50
111,201801,S92000003,S08000016,Type 1,65-74,"",Female,"",5,"",10
112,201801,S92000003,S08000016,Type 1,65-74,"",Female,"",,:,2
113,201801,S92000003,S08000016,Type 1,65-74,"",Male,"",1,"",7
114,201801,S92000003,S08000016,Type 1,65-74,"",Male,"",2,"",27
115,201801,S92000003,S08000016,Type 1,65-74,"",Male,"",3,"",59
116,201801,S92000003,S08000016,Type 1,65-74,"",Male,"",4,"",59
117,201801,S92000003,S08000016,Type 1,65-74,"",Male,"",5,"",12
118,201801,S92000003,S08000016,Type 1,75 plus,"",Female,"",1,"",10
119,201801,S92000003,S08000016,Type 1,75 plus,"",Female,"",2,"",56
120,201801,S92000003,S08000016,Type 1,75 plus,"",Female,"",3,"",88
121,201801,S92000003,S08000016,Type 1,75 plus,"",Female,"",4,"",107
122,201801,S92000003,S08000016,Type 1,75 plus,"",Female,"",5,"",23
123,201801,S92000003,S08000016,Type 1,75 plus,"",Female,"",,:,2
124,201801,S92000003,S08000016,Type 1,75 plus,"",Male,"",1,"",8
125,201801,S92000003,S08000016,Type 1,75 plus,"",Male,"",2,"",38
126,201801,S92000003,S08000016,Type 1,75 plus,"",Male,"",3,"",99
127,201801,S92000003,S08000016,Type 1,75 plus,"",Male,"",4,"",90
128,201801,S92000003,S08000016,Type 1,75 plus,"",Male,"",5,"",22
129,201801,S92000003,S08000016,Type 1,75 plus,"",Male,"",,:,3
130,201801,S92000003,S08000016,Type 1,Under 18,"",Female,"",1,"",15
131,201801,S92000003,S08000016,Type 1,Under 18,"",Female,"",2,"",13
132,201801,S92000003,S08000016,Type 1,Under 18,"",Female,"",3,"",40
133,201801,S92000003,S08000016,Type 1,Under 18,"",Female,"",4,"",36
134,201801,S92000003,S08000016,Type 1,Under 18,"",Female,"",5,"",13
135,201801,S92000003,S08000016,Type 1,Under 18,"",Female,"",,:,1
136,201801,S92000003,S08000016,Type 1,Under 18,"",Male,"",1,"",13
137,201801,S92000003,S08000016,Type 1,Under 18,"",Male,"",2,"",29
138,201801,S92000003,S08000016,Type 1,Under 18,"",Male,"",3,"",54
139,201801,S92000003,S08000016,Type 1,Under 18,"",Male,"",4,"",53
140,201801,S92000003,S08000016,Type 1,Under 18,"",Male,"",5,"",13
141,201801,S92000003,S08000016,Type 1,Under 18,"",Male,"",,:,3
142,201801,S92000003,S08000016,Type 1,"",:,"",:,,:,48
143,201801,S92000003,S08000017,Type 1,18-24,"",Female,"",1,"",31
144,201801,S92000003,S08000017,Type 1,18-24,"",Female,"",2,"",59
145,201801,S92000003,S08000017,Type 1,18-24,"",Female,"",3,"",42
146,201801,S92000003,S08000017,Type 1,18-24,"",Female,"",4,"",34
147,201801,S92000003,S08000017,Type 1,18-24,"",Female,"",5,"",16
148,201801,S92000003,S08000017,Type 1,18-24,"",Female,"",,:,1
149,201801,S92000003,S08000017,Type 1,18-24,"",Male,"",1,"",23
150,201801,S92000003,S08000017,Type 1,18-24,"",Male,"",2,"",54
151,201801,S92000003,S08000017,Type 1,18-24,"",Male,"",3,"",48
152,201801,S92000003,S08000017,Type 1,18-24,"",Male,"",4,"",26
153,201801,S92000003,S08000017,Type 1,18-24,"",Male,"",5,"",7
154,201801,S92000003,S08000017,Type 1,18-24,"",Male,"",,:,7
155,201801,S92000003,S08000017,Type 1,25-39,"",Female,"",1,"",63
156,201801,S92000003,S08000017,Type 1,25-39,"",Female,"",2,"",90
157,201801,S92000003,S08000017,Type 1,25-39,"",Female,"",3,"",85
158,201801,S92000003,S08000017,Type 1,25-39,"",Female,"",4,"",24
159,201801,S92000003,S08000017,Type 1,25-39,"",Female,"",5,"",16
160,201801,S92000003,S08000017,Type 1,25-39,"",Female,"",,:,2
161,201801,S92000003,S08000017,Type 1,25-39,"",Male,"",1,"",70
162,201801,S92000003,S08000017,Type 1,25-39,"",Male,"",2,"",90
163,201801,S92000003,S08000017,Type 1,25-39,"",Male,"",3,"",79
164,201801,S92000003,S08000017,Type 1,25-39,"",Male,"",4,"",34
165,201801,S92000003,S08000017,Type 1,25-39,"",Male,"",5,"",23
166,201801,S92000003,S08000017,Type 1,25-39,"",Male,"",,:,9
167,201801,S92000003,S08000017,Type 1,40-64,"",Female,"",1,"",57
168,201801,S92000003,S08000017,Type 1,40-64,"",Female,"",2,"",136
169,201801,S92000003,S08000017,Type 1,40-64,"",Female,"",3,"",135
170,201801,S92000003,S08000017,Type 1,40-64,"",Female,"",4,"",65
171,201801,S92000003,S08000017,Type 1,40-64,"",Female,"",5,"",32
172,201801,S92000003,S08000017,Type 1,40-64,"",Female,"",,:,4
173,201801,S92000003,S08000017,Type 1,40-64,"",Male,"",1,"",74
174,201801,S92000003,S08000017,Type 1,40-64,"",Male,"",2,"",167
175,201801,S92000003,S08000017,Type 1,40-64,"",Male,"",3,"",166
176,201801,S92000003,S08000017,Type 1,40-64,"",Male,"",4,"",51
