Year,MonthNum,HBT,Age,Sex,Deprivation,NumberOfAttendances,Population,Rate,log_offset,Date
2021,6,S08000015,Under 18,Male,4,126,4851,25.974025974025977,8.486940148245216,2021-06-01
2021,6,S08000015,Under 18,Male,5,142,4015,35.36737235367372,8.297792626380861,2021-06-01
2021,6,S08000016,18-24,Female,1,9,304,29.605263157894736,5.717027701406222,2021-06-01
2021,6,S08000016,18-24,Female,2,16,787,20.330368487928844,6.668228248417403,2021-06-01
2021,6,S08000016,18-24,Female,3,39,1315,29.657794676806084,7.181591944611865,2021-06-01
2021,6,S08000016,18-24,Female,4,11,844,13.033175355450236,6.7381524945959574,2021-06-01
2021,6,S08000016,18-24,Female,5,8,241,33.19502074688797,5.484796933490655,2021-06-01
2021,6,S08000016,18-24,Male,1,2,296,6.756756756756757,5.69035945432406,2021-06-01
2021,6,S08000016,18-24,Male,2,21,756,27.777777777777775,6.628041376179533,2021-06-01
2021,6,S08000016,18-24,Male,3,40,1403,28.51033499643621,7.246368080102461,2021-06-01
2021,6,S08000016,18-24,Male,4,32,842,38.00475059382423,6.7357800142423265,2021-06-01
2021,6,S08000016,18-24,Male,5,14,286,48.95104895104895,5.655991810819852,2021-06-01
2021,6,S08000016,25-39,Female,1,23,664,34.63855421686747,6.498282149476434,2021-06-01
2021,6,S08000016,25-39,Female,2,33,1797,18.363939899833056,7.493873886783559,2021-06-01
2021,6,S08000016,25-39,Female,3,78,3620,21.54696132596685,8.194229304819817,2021-06-01
2021,6,S08000016,25-39,Female,4,53,2141,24.75478748248482,7.669028288589683,2021-06-01
2021,6,S08000016,25-39,Female,5,12,668,17.964071856287426,6.504288173536645,2021-06-01
2021,6,S08000016,25-39,Male,1,26,571,45.53415061295972,6.3473892096560105,2021-06-01
2021,6,S08000016,25-39,Male,2,42,1801,23.32037756801777,7.496097345175956,2021-06-01
2021,6,S08000016,25-39,Male,3,62,3250,19.076923076923077,8.086410275323782,2021-06-01
2021,6,S08000016,25-39,Male,4,62,1921,32.274856845393025,7.560601162768557,2021-06-01
2021,6,S08000016,25-39,Male,5,11,591,18.612521150592215,6.3818160174060985,2021-06-01
2021,6,S08000016,40-64,Female,1,31,1130,27.43362831858407,7.029972911706386,2021-06-01
2021,6,S08000016,40-64,Female,2,51,3295,15.477996965098633,8.100161446936607,2021-06-01
2021,6,S08000016,40-64,Female,3,133,9136,14.557793345008758,9.119977931895791,2021-06-01
2021,6,S08000016,40-64,Female,4,112,6159,18.184770254911513,8.725669705687043,2021-06-01
2021,6,S08000016,40-64,Female,5,36,1953,18.433179723502302,7.577121930876679,2021-06-01
2021,6,S08000016,40-64,Male,1,22,1134,19.400352733686066,7.033506484287697,2021-06-01
2021,6,S08000016,40-64,Male,2,61,3286,18.56360316494218,8.097426298597213,2021-06-01
2021,6,S08000016,40-64,Male,3,124,8300,14.93975903614458,9.02401079378469,2021-06-01
2021,6,S08000016,40-64,Male,4,101,5662,17.838219710349698,8.641532465671846,2021-06-01
2021,6,S08000016,40-64,Male,5,26,1733,15.002885170225042,7.457609289715606,2021-06-01
2021,6,S08000016,65-74,Female,1,6,386,15.544041450777202,5.955837369464831,2021-06-01
2021,6,S08000016,65-74,Female,2,30,1363,22.010271460014675,7.217443431696533,2021-06-01
2021,6,S08000016,65-74,Female,3,65,3484,18.656716417910445,8.155936337972394,2021-06-01
2021,6,S08000016,65-74,Female,4,54,2510,21.513944223107572,7.828038032125829,2021-06-01
2021,6,S08000016,65-74,Female,5,13,720,18.055555555555554,6.579251212010101,2021-06-01
2021,6,S08000016,65-74,Male,1,8,355,22.535211267605636,5.872117789475416,2021-06-01
2021,6,S08000016,65-74,Male,2,34,1233,27.5750202757502,7.117205503164344,2021-06-01
2021,6,S08000016,65-74,Male,3,61,3440,17.732558139534884,8.143226750367445,2021-06-01
2021,6,S08000016,65-74,Male,4,67,2509,26.703866082104422,7.827639546366422,2021-06-01
2021,6,S08000016,65-74,Male,5,13,663,19.607843137254903,6.4967749901858625,2021-06-01
2021,6,S08000016,75 plus,Female,1,16,356,44.9438202247191,5.87493073085203,2021-06-01
2021,6,S08000016,75 plus,Female,2,54,1260,42.857142857142854,7.138866999945524,2021-06-01
2021,6,S08000016,75 plus,Female,3,83,3070,27.035830618892508,8.029432840581244,2021-06-01
2021,6,S08000016,75 plus,Female,4,109,2284,47.72329246935202,7.7336835707759,2021-06-01
2021,6,S08000016,75 plus,Female,5,29,640,45.3125,6.461468176353717,2021-06-01
2021,6,S08000016,75 plus,Male,1,10,261,38.314176245210724,5.564520407322694,2021-06-01
2021,6,S08000016,75 plus,Male,2,45,923,48.75406283856988,6.827629234502852,2021-06-01
2021,6,S08000016,75 plus,Male,3,85,2526,33.65003958828187,7.8343923029104365,2021-06-01
2021,6,S08000016,75 plus,Male,4,88,1865,47.184986595174266,7.5310163320779155,2021-06-01
2021,6,S08000016,75 plus,Male,5,19,510,37.254901960784316,6.234410725718371,2021-06-01
2021,6,S08000016,Under 18,Female,1,18,782,23.017902813299234,6.661854740545311,2021-06-01
2021,6,S08000016,Under 18,Female,2,34,1572,21.62849872773537,7.360103972989152,2021-06-01
2021,6,S08000016,Under 18,Female,3,49,4068,12.045231071779744,8.31090675716845,2021-06-01
2021,6,S08000016,Under 18,Female,4,58,2710,21.402214022140225,7.904703913873747,2021-06-01
2021,6,S08000016,Under 18,Female,5,18,1009,17.839444995044598,6.9167150203536085,2021-06-01
2021,6,S08000016,Under 18,Male,1,23,787,29.224904701397712,6.668228248417403,2021-06-01
2021,6,S08000016,Under 18,Male,2,37,1667,22.195560887822438,7.418780882750794,2021-06-01
2021,6,S08000016,Under 18,Male,3,89,4351,20.45506780050563,8.37816098272068,2021-06-01
2021,6,S08000016,Under 18,Male,4,99,2789,35.49659376120473,7.933438387627489,2021-06-01
2021,6,S08000016,Under 18,Male,5,23,1101,20.89009990917348,7.00397413672268,2021-06-01
2021,6,S08000017,18-24,Female,1,27,570,47.36842105263158,6.345636360828596,2021-06-01
2021,6,S08000017,18-24,Female,2,47,1348,34.86646884272997,7.206377291472252,2021-06-01
2021,6,S08000017,18-24,Female,3,42,1449,28.985507246376812,7.278628942320682,2021-06-01
2021,6,S08000017,18-24,Female,4,15,638,23.510971786833856,6.45833828334479,2021-06-01
2021,6,S08000017,18-24,Female,5,16,353,45.3257790368272,5.8664680569332965,2021-06-01
2021,6,S08000017,18-24,Male,1,22,572,38.46153846153847,6.349138991379798,2021-06-01
2021,6,S08000017,18-24,Male,2,46,1359,33.84841795437822,7.214504414151143,2021-06-01
2021,6,S08000017,18-24,Male,3,48,1581,30.36053130929791,7.365812837209472,2021-06-01
2021,6,S08000017,18-24,Male,4,16,761,21.02496714848883,6.634633357861686,2021-06-01
2021,6,S08000017,18-24,Male,5,6,341,17.595307917888565,5.831882477283517,2021-06-01
2021,6,S08000017,25-39,Female,1,50,1313,38.080731150038076,7.180069874302796,2021-06-01
2021,6,S08000017,25-39,Female,2,119,3217,36.990985390115014,8.076204527239026,2021-06-01
2021,6,S08000017,25-39,Female,3,92,4001,22.994251437140715,8.294299608857235,2021-06-01
2021,6,S08000017,25-39,Female,4,28,1732,16.166281755196305,7.4570320891223805,2021-06-01
2021,6,S08000017,25-39,Female,5,29,1107,26.19692863595303,7.009408932708637,2021-06-01
2021,6,S08000017,25-39,Male,1,67,1138,58.87521968365554,7.037027614686276,2021-06-01
2021,6,S08000017,25-39,Male,2,89,2957,30.098072370645923,7.9919305198524775,2021-06-01
2021,6,S08000017,25-39,Male,3,96,3734,25.70969469737547,8.225235324101668,2021-06-01
2021,6,S08000017,25-39,Male,4,42,1694,24.793388429752067,7.434847875211999,2021-06-01
2021,6,S08000017,25-39,Male,5,30,959,31.282586027111577,6.8658910748834385,2021-06-01
2021,6,S08000017,40-64,Female,1,81,2187,37.03703703703704,7.690286020676768,2021-06-01
2021,6,S08000017,40-64,Female,2,170,6856,24.795799299883313,8.832879460277615,2021-06-01
2021,6,S08000017,40-64,Female,3,194,10349,18.745772538409508,9.244645175668174,2021-06-01
2021,6,S08000017,40-64,Female,4,72,4696,15.332197614991482,8.454466361507933,2021-06-01
2021,6,S08000017,40-64,Female,5,32,2322,13.781223083548666,7.7501841622578365,2021-06-01
2021,6,S08000017,40-64,Male,1,104,2014,51.63853028798411,7.607878073278507,2021-06-01
2021,6,S08000017,40-64,Male,2,203,6343,32.00378369856534,8.755107121633896,2021-06-01
2021,6,S08000017,40-64,Male,3,199,9544,20.850796311818943,9.163667963777751,2021-06-01
2021,6,S08000017,40-64,Male,4,65,4245,15.31213191990577,8.353497098745448,2021-06-01
2021,6,S08000017,40-64,Male,5,47,2151,21.85030218503022,7.67368812926773,2021-06-01
2021,6,S08000017,65-74,Female,1,19,643,29.548989113530325,6.466144724237619,2021-06-01
2021,6,S08000017,65-74,Female,2,55,2761,19.9203187250996,7.923348211930154,2021-06-01
2021,6,S08000017,65-74,Female,3,80,4593,17.417809710428912,8.432288684325794,2021-06-01
2021,6,S08000017,65-74,Female,4,25,2083,12.00192030724916,7.641564441260972,2021-06-01
2021,6,S08000017,65-74,Female,5,16,885,18.07909604519774,6.785587645007929,2021-06-01
2021,6,S08000017,65-74,Male,1,32,653,49.004594180704444,6.481577129276431,2021-06-01
2021,6,S08000017,65-74,Male,2,82,2591,31.648012350443842,7.85979918056211,2021-06-01
2021,6,S08000017,65-74,Male,3,74,4337,17.0624855891169,8.374938143835367,2021-06-01
2021,6,S08000017,65-74,Male,4,44,2015,21.83622828784119,7.608374474380783,2021-06-01
2021,6,S08000017,65-74,Male,5,15,859,17.462165308498253,6.755768921984255,2021-06-01
2021,6,S08000017,75 plus,Female,1,30,587,51.10732538330494,6.375024819828097,2021-06-01
2021,6,S08000017,75 plus,Female,2,109,2521,43.2368107893693,7.83241092718792,2021-06-01
2021,6,S08000017,75 plus,Female,3,152,4093,37.136574639628634,8.317033476492403,2021-06-01
2021,6,S08000017,75 plus,Female,4,71,1940,36.5979381443299,7.570443252057374,2021-06-01
2021,6,S08000017,75 plus,Female,5,31,867,35.75547866205306,6.7650389767805414,2021-06-01
2021,6,S08000017,75 plus,Male,1,30,432,69.44444444444444,6.068425588244111,2021-06-01
2021,6,S08000017,75 plus,Male,2,108,1989,54.29864253393665,7.5953872788539725,2021-06-01
2021,6,S08000017,75 plus,Male,3,107,3345,31.98804185351271,8.11522197256233,2021-06-01
2021,6,S08000017,75 plus,Male,4,58,1643,35.30127814972611,7.404279118037268,2021-06-01
2021,6,S08000017,75 plus,Male,5,24,597,40.20100502512563,6.391917113392602,2021-06-01
